Town,Date,Sale Amount
Watertown,2015-10-01,175959.68
Watertown,2015-11-01,176631.818
Watertown,2015-12-01,206811.765
Watertown,2016-01-01,191755.556
Watertown,2016-02-01,185469.231
Watertown,2016-03-01,185286.789
Watertown,2016-04-01,229907.286
Watertown,2016-05-01,193867.818
Watertown,2016-06-01,250181.25
Watertown,2016-07-01,203744.088
Watertown,2016-08-01,227212.121
Watertown,2016-09-01,227710.033
Watertown,2016-10-01,192542.353
Watertown,2016-11-01,195714.474
Watertown,2016-12-01,248514.435
Watertown,2017-01-01,183684.929
Watertown,2017-02-01,227645.474
Watertown,2017-03-01,196983.292
Watertown,2017-04-01,216030.769
Watertown,2017-05-01,218022.857
Watertown,2017-06-01,201669.595
Watertown,2017-07-01,234330.853
Watertown,2017-08-01,200752.32
Watertown,2017-09-01,211124.81
Watertown,2017-10-01,215060.0
Watertown,2017-11-01,220158.065
Watertown,2017-12-01,181511.111
Watertown,2018-01-01,210022.944
Watertown,2018-02-01,184342.333
Watertown,2018-03-01,186564.706
Watertown,2018-04-01,212650.414
Watertown,2018-05-01,224646.296
Watertown,2018-06-01,245864.34
Watertown,2018-07-01,223187.147
Watertown,2018-08-01,238099.976
Watertown,2018-09-01,219780.769
Watertown,2018-10-01,238187.179
Watertown,2018-11-01,256593.59
Watertown,2018-12-01,275000.0
Watertown,2019-01-01,267271.68
Watertown,2019-02-01,259543.36
Watertown,2019-03-01,251815.04
Watertown,2019-04-01,244086.72
Watertown,2019-05-01,236358.4
Watertown,2019-06-01,228630.08
Watertown,2019-07-01,220901.76
Watertown,2019-08-01,213173.44
Watertown,2019-09-01,205445.12
Watertown,2019-10-01,197716.8
Watertown,2019-11-01,218062.917
Watertown,2019-12-01,238651.794
Watertown,2020-01-01,220144.231
Watertown,2020-02-01,183005.947
Watertown,2020-03-01,246564.318
Watertown,2020-04-01,255291.0
Watertown,2020-05-01,251270.88
Watertown,2020-06-01,241466.846
Watertown,2020-07-01,236787.306
Watertown,2020-08-01,258197.857
Watertown,2020-09-01,274909.487
Watertown,2020-10-01,280285.478
Watertown,2020-11-01,294666.667
Watertown,2020-12-01,274039.904
