Town,Sale Amount,Date,Projected,Lower_CI,Upper_CI
Ansonia,252776.21438274905,2013-06-01,False,,
Ansonia,252776.21438274905,2013-07-01,False,,
Ansonia,252776.21438274905,2013-08-01,False,,
Ansonia,252776.21438274905,2013-09-01,False,,
Ansonia,235890.41666666663,2013-10-01,False,,
Ansonia,236303.13571428572,2013-11-01,False,,
Ansonia,179866.60714285713,2013-12-01,False,,
Ansonia,182945.45454545456,2014-01-01,False,,
Ansonia,201464.61111111112,2014-02-01,False,,
Ansonia,173242.72727272726,2014-03-01,False,,
Ansonia,222931.86842105264,2014-04-01,False,,
Ansonia,232131.1416666667,2014-05-01,False,,
Ansonia,215153.09523809524,2014-06-01,False,,
Ansonia,160059.54545454544,2014-07-01,False,,
Ansonia,192268.19444444444,2014-08-01,False,,
Ansonia,234860.13571428572,2014-09-01,False,,
Ansonia,213966.22000000003,2014-10-01,False,,
Ansonia,207545.0,2014-11-01,False,,
Ansonia,182273.68421052632,2014-12-01,False,,
Ansonia,166385.55555555556,2015-01-01,False,,
Ansonia,205256.07142857145,2015-02-01,False,,
Ansonia,191000.58823529413,2015-03-01,False,,
Ansonia,232740.625,2015-04-01,False,,
Ansonia,195806.91764705884,2015-05-01,False,,
Ansonia,150643.56666666668,2015-06-01,False,,
Ansonia,212785.12068965516,2015-07-01,False,,
Ansonia,229465.38333333333,2015-08-01,False,,
Ansonia,213447.5,2015-09-01,False,,
Ansonia,201737.21904761903,2015-10-01,False,,
Ansonia,165471.42857142858,2015-11-01,False,,
Ansonia,190320.0,2015-12-01,False,,
Ansonia,146661.55833333332,2016-01-01,False,,
Ansonia,178166.24800000002,2016-02-01,False,,
Ansonia,185184.9434782609,2016-03-01,False,,
Ansonia,191365.74736842103,2016-04-01,False,,
Ansonia,202935.5611111111,2016-05-01,False,,
Ansonia,215033.40344827587,2016-06-01,False,,
Ansonia,204267.91666666663,2016-07-01,False,,
Ansonia,250754.61666666667,2016-08-01,False,,
Ansonia,204046.7590909091,2016-09-01,False,,
Ansonia,219592.60869565216,2016-10-01,False,,
Ansonia,222781.54166666663,2016-11-01,False,,
Ansonia,230364.33333333337,2016-12-01,False,,
Ansonia,196270.35,2017-01-01,False,,
Ansonia,217991.8,2017-02-01,False,,
Ansonia,194748.125,2017-03-01,False,,
Ansonia,220910.625,2017-04-01,False,,
Ansonia,211886.07142857145,2017-05-01,False,,
Ansonia,215491.172,2017-06-01,False,,
Ansonia,236143.05,2017-07-01,False,,
Ansonia,259281.7066666667,2017-08-01,False,,
Ansonia,224586.21851851852,2017-09-01,False,,
Ansonia,215984.92066666667,2017-10-01,False,,
Ansonia,234206.54705882352,2017-11-01,False,,
Ansonia,245976.25,2017-12-01,False,,
Ansonia,193490.55555555556,2018-01-01,False,,
Ansonia,231130.25,2018-02-01,False,,
Ansonia,195897.61904761905,2018-03-01,False,,
Ansonia,260395.0,2018-04-01,False,,
Ansonia,232878.14814814815,2018-05-01,False,,
Ansonia,286239.0,2018-06-01,False,,
Ansonia,262933.35714285716,2018-07-01,False,,
Ansonia,281887.892,2018-08-01,False,,
Ansonia,293906.1125,2018-09-01,False,,
Ansonia,224721.25,2018-10-01,False,,
Ansonia,255608.88888888888,2018-11-01,False,,
Ansonia,275213.185,2018-12-01,False,,
Ansonia,237686.5,2019-01-01,False,,
Ansonia,235550.25,2019-02-01,False,,
Ansonia,187589.4090909091,2019-03-01,False,,
Ansonia,283923.1777777778,2019-04-01,False,,
Ansonia,261705.0,2019-05-01,False,,
Ansonia,283576.8,2019-06-01,False,,
Ansonia,284436.43703703705,2019-07-01,False,,
Ansonia,275315.2380952381,2019-08-01,False,,
Ansonia,290663.75,2019-09-01,False,,
Ansonia,256224.19642857145,2019-10-01,False,,
Ansonia,261018.5157894737,2019-11-01,False,,
Ansonia,251577.85714285713,2019-12-01,False,,
Ansonia,265028.97777777776,2020-01-01,False,,
Ansonia,276213.8888888889,2020-02-01,False,,
Ansonia,236087.384,2020-03-01,False,,
Ansonia,305162.0,2020-04-01,False,,
Ansonia,293646.36363636365,2020-05-01,False,,
Ansonia,260762.9304347826,2020-06-01,False,,
Ansonia,277402.6666666667,2020-07-01,False,,
Ansonia,294173.04347826086,2020-08-01,False,,
Ansonia,293926.3888888889,2020-09-01,False,,
Ansonia,309974.2425,2020-10-01,False,,
Ansonia,327969.8275862069,2020-11-01,False,,
Ansonia,329410.8212121212,2020-12-01,False,,
Ansonia,329862.0,2021-01-01,False,,
