Date,Unemployed,Town
2025-07-01,55.84475512833054,Pomfret
2025-08-01,52.19285472218782,Pomfret
2025-09-01,50.56350018161104,Pomfret
2025-10-01,52.164926771796715,Pomfret
2024-11-01,112.65284345058336,Portland
2024-12-01,110.50038848527916,Portland
2025-01-01,157.3456840757579,Portland
2025-02-01,167.1950017781276,Portland
2025-03-01,129.80460291278717,Portland
2025-04-01,110.32986090683792,Portland
2025-05-01,132.301589740772,Portland
2025-06-01,111.08619727574066,Portland
2025-07-01,126.18875670753997,Portland
2025-08-01,124.89589304603818,Portland
2025-09-01,110.59955909769238,Portland
2025-10-01,108.04225303776235,Portland
2024-11-01,40.08954507206056,Preston
2024-12-01,43.73668109050329,Preston
2025-01-01,57.90523007529798,Preston
2025-02-01,61.87023288007188,Preston
2025-03-01,54.99774987075589,Preston
2025-04-01,48.36940038558444,Preston
2025-05-01,49.05822024997541,Preston
2025-06-01,42.202697845244764,Preston
2025-07-01,43.64890059826023,Preston
2025-08-01,42.898633237301404,Preston
2025-09-01,40.10812562648082,Preston
2025-10-01,39.170015192563646,Preston
2024-11-01,103.61643591498884,Prospect
2024-12-01,105.95590721246124,Prospect
2025-01-01,168.6334735265834,Prospect
2025-02-01,175.10572344287436,Prospect
2025-03-01,151.79511720910503,Prospect
2025-04-01,111.7125473773524,Prospect
2025-05-01,139.3034055423174,Prospect
2025-06-01,130.17610301549226,Prospect
2025-07-01,142.50132893735645,Prospect
2025-08-01,126.37451570840062,Prospect
2025-09-01,109.9080491467699,Prospect
2025-10-01,102.73897647626048,Prospect
2024-11-01,107.29448514849598,Putnam
2024-12-01,94.75407631033607,Putnam
2025-01-01,137.10366943478735,Putnam
2025-02-01,144.92901826214816,Putnam
2025-03-01,125.49861598928625,Putnam
2025-04-01,103.8232526950175,Putnam
2025-05-01,133.7423028903783,Putnam
2025-06-01,124.0907223877112,Putnam
2025-07-01,129.15477825529402,Putnam
2025-08-01,111.70761155366307,Putnam
2025-09-01,94.41195273484324,Putnam
2025-10-01,91.9107158198451,Putnam
2024-11-01,90.06885297110283,Redding
2024-12-01,88.42813054576852,Redding
2025-01-01,105.78120530463414,Redding
2025-02-01,114.54558694601508,Redding
2025-03-01,91.85586360518718,Redding
2025-04-01,70.33214230648535,Redding
2025-05-01,84.73005257520327,Redding
2025-06-01,69.39346060975528,Redding
2025-07-01,79.22918790601193,Redding
2025-08-01,75.34896596973859,Redding
2025-09-01,71.60140799161088,Redding
2025-10-01,74.39450820846679,Redding
2024-11-01,229.1242526537934,Ridgefield
2024-12-01,192.61040160895107,Ridgefield
2025-01-01,234.203831860094,Ridgefield
2025-02-01,251.91958744005387,Ridgefield
2025-03-01,193.1543561037202,Ridgefield
2025-04-01,156.71656301385957,Ridgefield
2025-05-01,237.48035282532027,Ridgefield
2025-06-01,202.38671000198295,Ridgefield
2025-07-01,209.9276090353387,Ridgefield
2025-08-01,198.10905730865863,Ridgefield
2025-09-01,183.67307121151066,Ridgefield
2025-10-01,205.68479505505667,Ridgefield
2024-11-01,233.64213228830874,Rocky Hill
2024-12-01,234.1241431622509,Rocky Hill
2025-01-01,266.2797619581448,Rocky Hill
2025-02-01,268.26848200246803,Rocky Hill
2025-03-01,226.14336216937988,Rocky Hill
2025-04-01,193.23027955197114,Rocky Hill
2025-05-01,224.26021115178202,Rocky Hill
2025-06-01,182.64446199412865,Rocky Hill
2025-07-01,204.05995524506588,Rocky Hill
2025-08-01,207.6277811550032,Rocky Hill
2025-09-01,187.77444015368508,Rocky Hill
2025-10-01,193.54266986207347,Rocky Hill
2024-11-01,17.609802234346382,Roxbury
2024-12-01,17.82196813545843,Roxbury
2025-01-01,23.13957112622459,Roxbury
2025-02-01,24.185552377952916,Roxbury
2025-03-01,19.957779004977347,Roxbury
2025-04-01,17.887740684551815,Roxbury
2025-05-01,21.58156134014766,Roxbury
2025-06-01,17.93158905061407,Roxbury
2025-07-01,19.511523019722127,Roxbury
2025-08-01,20.645201003574964,Roxbury
2025-09-01,16.395503447568267,Roxbury
2025-10-01,16.117564997362837,Roxbury
2024-11-01,40.67295686761458,Salem
2024-12-01,39.51752636748523,Salem
2025-01-01,54.609439885415206,Salem
2025-02-01,56.294548913026595,Salem
2025-03-01,46.634887427697954,Salem
2025-04-01,33.6754415913166,Salem
2025-05-01,41.486237614022606,Salem
2025-06-01,37.302738812391794,Salem
2025-07-01,41.2081368237448,Salem
2025-08-01,38.47005548189589,Salem
2025-09-01,34.07613887983325,Salem
2025-10-01,36.799583337983336,Salem
2024-11-01,30.56181070683752,Salisbury
2024-12-01,33.45890677550759,Salisbury
2025-01-01,54.54438157962017,Salisbury
2025-02-01,53.81553390756862,Salisbury
2025-03-01,52.739718648788276,Salisbury
2025-04-01,32.52953458106999,Salisbury
2025-05-01,38.145966773727196,Salisbury
2025-06-01,40.12246328220232,Salisbury
2025-07-01,41.54346484733751,Salisbury
2025-08-01,36.52912214784879,Salisbury
2025-09-01,28.467650936648894,Salisbury
2025-10-01,27.54060328021501,Salisbury
2024-11-01,16.468851115184034,Scotland
2024-12-01,21.039206257232845,Scotland
2025-01-01,35.12092633311664,Scotland
2025-02-01,38.316831262415725,Scotland
2025-03-01,35.78230205506195,Scotland
2025-04-01,27.85166012057854,Scotland
2025-05-01,33.845019246074045,Scotland
2025-06-01,35.14327638822709,Scotland
2025-07-01,36.639280117572994,Scotland
2025-08-01,33.301726766469386,Scotland
2025-09-01,29.06027440460999,Scotland
2025-10-01,29.718978899278262,Scotland
2024-11-01,205.16151053515068,Seymour
2024-12-01,205.57748460019565,Seymour
2025-01-01,272.876043741893,Seymour
2025-02-01,277.72537804773145,Seymour
2025-03-01,240.92487792607244,Seymour
2025-04-01,183.7350995807933,Seymour
2025-05-01,215.0610066104642,Seymour
2025-06-01,175.70271152011253,Seymour
2025-07-01,206.59105204020955,Seymour
2025-08-01,208.0750732063692,Seymour
2025-09-01,186.94970517260708,Seymour
2025-10-01,188.9668658624428,Seymour
2024-11-01,23.416140644271746,Sharon
2024-12-01,23.58921825728374,Sharon
2025-01-01,37.59875100768152,Sharon
2025-02-01,40.05110609879787,Sharon
2025-03-01,36.63224272219039,Sharon
2025-04-01,25.589971253348637,Sharon
2025-05-01,30.542019763236276,Sharon
2025-06-01,31.461479461394028,Sharon
2025-07-01,34.15519194217877,Sharon
2025-08-01,30.43052307452475,Sharon
2025-09-01,24.877792708502255,Sharon
2025-10-01,26.13438565635994,Sharon
2024-11-01,37.086536839478654,Sherman
2024-12-01,35.81222717820439,Sherman
2025-01-01,42.31808662583226,Sherman
2025-02-01,46.490166888928705,Sherman
2025-03-01,39.45307071899275,Sherman
2025-04-01,34.18275839493838,Sherman
2025-05-01,39.14868982013793,Sherman
2025-06-01,35.624133892451866,Sherman
2025-07-01,38.790526776787146,Sherman
2025-08-01,38.92183399668465,Sherman
2025-09-01,36.98498039320478,Sherman
2025-10-01,38.6979820945904,Sherman
2024-11-01,245.08604005469505,Simsbury
2024-12-01,227.1477976688994,Simsbury
2025-01-01,257.5529610864377,Simsbury
2025-02-01,263.3820947359678,Simsbury
2025-03-01,223.2202660553209,Simsbury
2025-04-01,183.89034391750752,Simsbury
2025-05-01,240.46711154472348,Simsbury
2025-06-01,220.8158783930953,Simsbury
2025-07-01,237.20181277161655,Simsbury
2025-08-01,222.87059215894928,Simsbury
2025-09-01,208.3982672717775,Simsbury
2025-10-01,219.7427156207229,Simsbury
2024-11-01,107.0237382002427,Somers
